Symbol,Date,Exchange,Open,High,Low,Close,Prev High,Prev Low,Prev Close,GAP%,ATR14,Outstanding Shares,Market Cap,Volume(-1),Volume(-2),Volume(-3),Avg Prev 3 Day Volume,PM Volume,Daily Volume,Volume Open to HOD,Volume HOD to Close,PM Trades,No. Trades,PM Volume / Avg Prev 3 Day Volume,Daily Volume / Avg Prev 3 Day Volume,PM Supply Rotation,Daily Supply Rotation,Supply Rotations Open to HOD,Supply Rotations HOD to Close,Open Time,Time HOD,Time LOD,Minutes Open to HOD,Minutes Open to LOD,Time HOD - LOD,Broke PM High,Broke PM Low,Day
MBRK,2008-01-24,NASDAQ,3.48,3.73,2.81,2.89,1.43,1.2,1.25,178.4,2.62,46748748.0,58435935.0,142803.0,163724.0,112694.0,139740.33,2366323.0,16776313.0,4760160.0,8994356.0,2133.0,23116.0,16.93,120.05,0.05,0.36,0.1,0.19,09:30:00,08:50:00,07:02:00,-40.0,-148.0,108.0,False,False,3
MNT,2008-12-01,NYSE,30.62,30.78,30.5,30.58,16.23,15.41,16.15,89.6,17.45,34342362.0,554629146.3,146641.0,357886.0,397903.0,300810.0,1589410.0,24985865.0,1151847.0,21822536.0,1412.0,32634.0,5.28,83.06,0.05,0.73,0.03,0.64,09:30:00,08:01:00,08:01:00,-89.0,-89.0,0.0,False,False,0
NVD,2008-12-22,NYSE,0.75,0.88,0.45,0.46,0.39,0.25,0.32,134.38,0.83,68692260.0,21981523.2,2208972.0,8006283.0,9603705.0,6606320.0,1808057.0,17838081.0,273169.0,15202268.0,1044.0,12129.0,0.27,2.7,0.03,0.26,0.0,0.22,09:30:00,08:05:00,08:03:00,-85.0,-87.0,2.0,False,False,0
PDGI,2009-02-03,NASDAQ,4.68,4.74,4.51,4.64,1.39,1.25,1.34,249.25,3.73,19325934.0,25896751.56,269493.0,263993.0,175234.0,236240.0,1005191.0,10831189.0,3118715.0,6640357.0,779.0,19823.0,4.25,45.85,0.05,0.56,0.16,0.34,09:30:00,09:01:00,09:34:00,-29.0,4.0,-33.0,False,True,1
CEGE,2009-04-14,NASDAQ,0.6,0.64,0.42,0.44,0.36,0.32,0.35,71.43,0.46,86809651.0,30383377.85,2393450.0,891535.0,691699.0,1325561.33,2421844.0,15463673.0,2822249.0,9619247.0,1846.0,11494.0,1.83,11.67,0.03,0.18,0.03,0.11,09:30:00,09:01:00,07:05:00,-29.0,-145.0,116.0,False,False,1
KERX,2009-06-01,NASDAQ,1.32,1.45,1.12,1.22,0.77,0.66,0.7,88.57,1.2,47800511.0,33460357.7,5004575.0,9653559.0,12437051.0,9031728.33,1035089.0,19607477.0,641791.0,17494272.0,1372.0,18298.0,0.11,2.17,0.02,0.41,0.01,0.37,09:30:00,06:19:00,10:52:00,-191.0,82.0,-273.0,False,True,0
HGSI,2009-07-20,NASDAQ,10.89,12.56,9.1,12.51,3.63,3.31,3.32,228.01,10.31,136056184.0,451706530.88,26267152.0,39517471.0,7906258.0,24563627.0,9916244.0,122835161.0,105991589.0,,26324.0,399787.0,0.4,5.0,0.07,0.9,0.78,,09:30:00,15:59:00,04:16:00,389.0,-314.0,703.0,True,False,0
CIT,2009-07-20,NYSE,1.3,1.44,1.16,1.25,0.93,0.47,0.7,85.71,2.3,288382912.0,201868038.4,459099469.0,441879578.0,74770132.0,325249726.33,37298248.0,351975767.0,,295834953.0,23242.0,234058.0,0.11,1.08,0.13,1.22,,1.03,09:30:00,06:47:00,09:36:00,-163.0,6.0,-169.0,False,True,0
AVNR,2009-08-11,NASDAQ,3.8,4.09,2.8,2.84,2.25,2.17,2.19,73.52,2.06,78244987.0,171356521.53,519262.0,619653.0,361781.0,500232.0,1840345.0,29808780.0,3426452.0,23711418.0,3457.0,55483.0,3.68,59.59,0.02,0.38,0.04,0.3,09:30:00,07:12:00,15:59:00,-138.0,389.0,-527.0,False,True,1
CGEN,2009-12-23,NASDAQ,4.9,5.58,4.33,4.59,2.87,2.7,2.84,72.54,2.9,28512440.0,80975329.6,76866.0,107200.0,73095.0,85720.33,2300362.0,25583037.0,5862428.0,16745286.0,6385.0,59016.0,26.84,298.45,0.08,0.9,0.21,0.59,09:30:00,10:09:00,07:54:00,39.0,-96.0,135.0,True,False,2
