Date,Symbol,Exchange,Outstanding Shares,Market Cap,Gap%,Avg Prev 3 Day Volume,PM Trades,PM Volume,PM Dollar Volume,Daily  Trades,Daily Volume,Daily Dollar Volume,PM Whale Ratio,Daily Whale Ratio,PM Supply Rotations,Daily Supply Rotations,PM Mkt Cap Rotations,Daily Mkt Cap Rotations,High to Close %,Low to Close %,Open to Close %,Overnight%,Long Optimal,Positive Open to Close,Positive Overnight,Minutes Open to HOD,Minutes Open to LOD,Macro Regime
2008-01-24,MBRK,NASDAQ,46748748,58435935.0,178.4,139740.33,2133,2366323,7898848.47,23116,16776313,55121279.91,1109.39,725.74,0.05,0.36,0.14,0.94,-22.52,2.85,-16.95,-2.08,0,0,0,-40,-148,0.0
2008-12-01,MNT,NYSE,34342362,554629146.3,89.6,300810.0,1412,1589410,48426906.94,32634,24985865,764677808.72,1125.64,765.64,0.05,0.73,0.09,1.38,-0.65,0.26,-0.13,-0.33,0,0,0,-89,-89,0.0
2008-12-22,NVD,NYSE,68692260,21981523.2,134.38,6606320.0,1044,1808057,1657708.82,12129,17838081,12392365.16,1731.86,1470.7,0.03,0.26,0.08,0.56,-47.73,2.22,-38.67,6.52,0,0,1,-85,-87,0.0
2009-02-03,PDGI,NASDAQ,19325934,25896751.56,249.25,236240.0,779,1005191,4728533.27,19823,10831189,50340322.5,1290.36,546.4,0.05,0.56,0.18,1.94,-2.01,2.88,-0.85,0.22,1,0,1,-29,4,0.0
2009-04-14,CEGE,NASDAQ,86809651,30383377.85,71.43,1325561.33,1846,2421844,1534086.59,11494,15463673,8327443.54,1311.94,1345.37,0.03,0.18,0.05,0.27,-31.11,4.61,-26.67,9.09,0,0,1,-29,-145,0.0
2009-06-01,KERX,NASDAQ,47800511,33460357.7,88.57,9031728.33,1372,1035089,1549710.56,18298,19607477,25155890.39,754.44,1071.56,0.02,0.41,0.05,0.75,-15.86,8.93,-7.58,8.2,0,0,1,-191,82,0.0
2009-07-20,HGSI,NASDAQ,136056184,451706530.88,228.01,24563627.0,26324,9916244,106513933.64,399787,122835161,1327467063.93,376.7,307.25,0.07,0.9,0.24,2.94,-0.4,37.47,14.88,-1.04,1,1,0,389,-314,0.0
2009-07-20,CIT,NYSE,288382912,201868038.4,85.71,325249726.33,23242,37298248,48284391.02,234058,351975767,456514952.39,1604.78,1503.8,0.13,1.22,0.24,2.26,-13.19,7.77,-3.85,10.4,0,0,1,-163,6,0.0
2009-08-11,AVNR,NASDAQ,78244987,171356521.53,73.52,500232.0,3457,1840345,7058180.47,55483,29808780,100910126.92,532.35,537.26,0.02,0.38,0.04,0.59,-30.56,1.43,-25.26,-0.7,0,0,0,-138,389,0.0
2009-12-23,CGEN,NASDAQ,28512440,80975329.6,72.54,85720.33,6385,2300362,9683308.8,59016,25583037,123527846.24,360.28,433.49,0.08,0.9,0.12,1.53,-17.74,6.0,-6.33,-4.79,0,0,0,39,-96,0.0
2010-03-31,ARQL,NASDAQ,44729014,156551549.0,72.57,91883.0,6080,3303563,19643599.97,142780,47352391,311377972.11,543.35,331.65,0.07,1.06,0.13,1.99,-23.63,0.18,-5.3,-0.17,0,0,0,117,-120,0.0
2010-04-08,RPC,NYSE,22682118,8619204.84,131.58,3684294.0,3680,3055390,2722304.95,17834,20318340,16625307.27,830.27,1139.3,0.13,0.9,0.32,1.93,-32.21,4.44,-19.89,13.48,0,0,1,-61,-90,0.0
2010-11-01,AVNR,NASDAQ,95965572,232236684.24,134.3,9971560.67,15064,7626895,41691113.02,132514,55469844,284145935.91,506.3,418.6,0.08,0.58,0.18,1.22,-17.24,2.78,-15.34,0.0,0,0,0,-86,326,0.0
2010-12-17,ITMN,NASDAQ,55283056,788889209.12,97.83,628708.0,13739,3404841,100769065.34,142529,34653870,1110364964.71,247.82,243.14,0.06,0.63,0.13,1.41,-1.3,28.13,23.59,6.05,1,1,1,387,-200,0.0
2011-04-07,XNPT,NASDAQ,35357000,225577660.0,74.14,1988096.33,6774,3995688,43261886.92,69397,26502314,276425090.68,589.86,381.89,0.11,0.75,0.19,1.23,-12.17,2.57,-10.35,-1.91,0,0,0,-64,37,0.0
